# Menlo Systems GmbH ScanControl
# Program Version 1.3.3
# Start: -690.30000000 ps, Average over 10000 waveforms. Timestamp: 2020-02-17T17:16:37
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time [ps]	THz Signal [a.u.]
-672.26666653	0.16388867
-672.23333320	0.17229126
-672.19999986	0.18113160
-672.16666653	0.19029525
-672.13333319	0.19975623
-672.09999986	0.20935469
-672.06666653	0.21920217
-672.03333319	0.22905433
-671.99999986	0.23891748
-671.96666653	0.24877105
-671.93333319	0.25855624
-671.89999986	0.26828453
-671.86666653	0.27778904
-671.83333319	0.28705517
-671.79999986	0.29588468
-671.76666653	0.30400693
-671.73333319	0.31104803
-671.69999986	0.31664499
-671.66666652	0.32010013
-671.63333319	0.32069342
-671.59999986	0.31760523
-671.56666652	0.30960449
-671.53333319	0.29525908
-671.49999986	0.27293652
-671.46666652	0.24072853
-671.43333319	0.19629064
-671.39999986	0.13674459
-671.36666652	0.05898852
-671.33333319	-0.04089443
-671.29999986	-0.16745488
-671.26666652	-0.32613915
-671.23333319	-0.52224567
-671.19999985	-0.76132896
-671.16666652	-1.04831021
-671.13333319	-1.38682705
-671.09999985	-1.77628604
-671.06666652	-2.21252226
-671.03333319	-2.68497872
-670.99999985	-3.17519920
-670.96666652	-3.65519171
-670.93333319	-4.08918072
-670.89999985	-4.43680815
-670.86666652	-4.65645185
-670.83333318	-4.71104411
-670.79999985	-4.57474321
-670.76666652	-4.23733443
-670.73333318	-3.70687471
-670.69999985	-3.01153781
-670.66666652	-2.19597113
-670.63333318	-1.31273635
-670.59999985	-0.41511205
-670.56666652	0.44615260
-670.53333318	1.23197626
-670.49999985	1.91437315
-670.46666652	2.47492870
-670.43333318	2.90251645
-670.39999985	3.19387668
-670.36666651	3.35314726
-670.33333318	3.39027555
-670.29999985	3.32054054
-670.26666651	3.16349429
-670.23333318	2.94045077
-670.19999985	2.67211875
-670.16666651	2.37748091
-670.13333318	2.07224083
-670.09999985	1.76834373
-670.06666651	1.47490043
-670.03333318	1.20094461
-669.99999985	0.95410916
-669.96666651	0.74113228
-669.93333318	0.56677483
-669.89999984	0.43310414
-669.86666651	0.33826323
-669.83333318	0.27596831
-669.79999984	0.23734793
-669.76666651	0.21241936
-669.73333318	0.19177964
-669.69999984	0.16792735
-669.66666651	0.13630097
-669.63333318	0.09515812
-669.59999984	0.04463407
-669.56666651	-0.01353960
-669.53333317	-0.07698640
-669.49999984	-0.14208350
-669.46666651	-0.20419884
-669.43333317	-0.25746538
-669.39999984	-0.29471380
-669.36666651	-0.30876320
-669.33333317	-0.29398935
-669.29999984	-0.24788804
-669.26666651	-0.17202389
-669.23333317	-0.07246615
-669.19999984	0.04096661
-669.16666651	0.15655306
-669.13333317	0.26235013
-669.09999984	0.34753974
-669.06666650	0.40395699
-669.03333317	0.42682465
-668.99999984	0.41414687
-668.96666650	0.36632423
-668.93333317	0.28633822
-668.89999984	0.18004853
-668.86666650	0.05607098
-668.83333317	-0.07350273
-668.79999984	-0.19494248
-668.76666650	-0.29496476
-668.73333317	-0.36322807
-668.69999984	-0.39344838
-668.66666650	-0.38504338
-668.63333317	-0.34290571
-668.59999983	-0.27567348
-668.56666650	-0.19399602
-668.53333317	-0.10846015
-668.49999983	-0.02698936
-668.46666650	0.04582173
-668.43333317	0.10793625
-668.39999983	0.15917309
-668.36666650	0.19971354
-668.33333317	0.22953466
-668.29999983	0.24799847
-668.26666650	0.25429736
-668.23333316	0.24841756
-668.19999983	0.23121111
-668.16666650	0.20483365
-668.13333316	0.17206540
-668.09999983	0.13564984
-668.06666650	0.09784951
-668.03333316	0.06058835
-667.99999983	0.02539784
-667.96666650	-0.00681016
-667.93333316	-0.03555943
-667.89999983	-0.06094715
-667.86666650	-0.08397161
-667.83333316	-0.10619016
-667.79999983	-0.12893254
-667.76666649	-0.15234155
-667.73333316	-0.17496286
-667.69999983	-0.19397982
-667.66666649	-0.20550784
-667.63333316	-0.20545017
-667.59999983	-0.19064395
-667.56666649	-0.15951106
-667.53333316	-0.11269752
-667.49999983	-0.05291919
-667.46666649	0.01536638
-667.43333316	0.08733066
-667.39999983	0.15862357
-667.36666649	0.22486246
-667.33333316	0.28262412
-667.29999982	0.32828401
-667.26666649	0.35803231
-667.23333316	0.36757164
-667.19999982	0.35314614
-667.16666649	0.31196529
-667.13333316	0.24390273
-667.09999982	0.15258193
-667.06666649	0.04501033
-667.03333316	-0.06875353
-666.99999982	-0.17763785
-666.96666649	-0.27073539
-666.93333315	-0.33923671
-666.89999982	-0.37785581
-666.86666649	-0.38474310
-666.83333315	-0.36109327
-666.79999982	-0.31083961
-666.76666649	-0.24041967
-666.73333315	-0.15805379
-666.69999982	-0.07385453
-666.66666649	0.00207931
-666.63333315	0.06140237
-666.59999982	0.09828894
-666.56666649	0.11030545
-666.53333315	0.09847744
-666.49999982	0.06662823
-666.46666648	0.02015036
-666.43333315	-0.03458033
-666.39999982	-0.09103063
-666.36666648	-0.14368280
-666.33333315	-0.18838495
-666.29999982	-0.22249927
-666.26666648	-0.24498061
-666.23333315	-0.25595816
-666.19999982	-0.25632251
-666.16666648	-0.24699362
-666.13333315	-0.22891680
-666.09999982	-0.20292899
-666.06666648	-0.16980674
-666.03333315	-0.13077475
-665.99999981	-0.08733625
-665.96666648	-0.04139905
-665.93333315	0.00468626
-665.89999981	0.04779987
-665.86666648	0.08456884
-665.83333315	0.11178535
-665.79999981	0.12738646
-665.76666648	0.13124678
-665.73333315	0.12560409
-665.69999981	0.11526210
-665.66666648	0.10606714
-665.63333314	0.10347782
-665.59999981	0.11052997
-665.56666648	0.12637183
-665.53333314	0.14659167
-665.49999981	0.16429864
-665.46666648	0.17258044
-665.43333314	0.16694326
-665.39999981	0.14661733
-665.36666648	0.11445567
-665.33333314	0.07588889
-665.29999981	0.03668562
-665.26666648	0.00149733
-665.23333314	-0.02709304
-665.19999981	-0.04856423
-665.16666647	-0.06420553
-665.13333314	-0.07598950
-665.09999981	-0.08602168
-665.06666647	-0.09589464
-665.03333314	-0.10625697
-664.99999981	-0.11691222
-664.96666647	-0.12678010
-664.93333314	-0.13452412
-664.89999981	-0.13870796
-664.86666647	-0.13873570
-664.83333314	-0.13496958
-664.79999981	-0.12854780
-664.76666647	-0.12090975
-664.73333314	-0.11299224
-664.69999980	-0.10432166
-664.66666647	-0.09326905
-664.63333314	-0.07791856
-664.59999980	-0.05662887
-664.56666647	-0.02937586
-664.53333314	0.00182392
-664.49999980	0.03359518
-664.46666647	0.06191694
-664.43333314	0.08332796
-664.39999980	0.09552817
-664.36666647	0.09775856
-664.33333313	0.09066755
-664.29999980	0.07578698
-664.26666647	0.05516562
-664.23333313	0.03126059
-664.19999980	0.00647835
-664.16666647	-0.01600300
-664.13333313	-0.03288574
-664.09999980	-0.04126029
-664.06666647	-0.03957002
-664.03333313	-0.02823238
-663.99999980	-0.01015506
-663.96666647	0.01021338
-663.93333313	0.02872976
-663.89999980	0.04281417
-663.86666646	0.05248541
-663.83333313	0.06001921
-663.79999980	0.06852894
-663.76666646	0.08026270
-663.73333313	0.09532752
-663.69999980	0.11155486
-663.66666646	0.12495186
-663.63333313	0.13133218
-663.59999980	0.12763588
-663.56666646	0.11249863
-663.53333313	0.08690609
-663.49999980	0.05373611
-663.46666646	0.01714330
-663.43333313	-0.01918332
-663.39999979	-0.05186357
-663.36666646	-0.07848815
-663.33333313	-0.09818230
-663.29999979	-0.11114603
-663.26666646	-0.11807538
-663.23333313	-0.11991565
-663.19999979	-0.11753430
-663.16666646	-0.11138355
-663.13333313	-0.10136831
-663.09999979	-0.08721991
-663.06666646	-0.06891091
-663.03333312	-0.04713612
-662.99999979	-0.02390948
-662.96666646	-0.00215781
-662.93333312	0.01492757
-662.89999979	0.02470063
-662.86666646	0.02597094
-662.83333312	0.01944596
-662.79999979	0.00739425
-662.76666646	-0.00646247
-662.73333312	-0.01813621
-662.69999979	-0.02426013
-662.66666646	-0.02294917
-662.63333312	-0.01409145
-662.59999979	0.00096105
-662.56666645	0.01976126
-662.53333312	0.03948882
-662.49999979	0.05700246
-662.46666645	0.06956915
-662.43333312	0.07485031
-662.39999979	0.07161469
-662.36666645	0.05990373
-662.33333312	0.04095739
-662.29999979	0.01707177
-662.26666645	-0.00901817
-662.23333312	-0.03437319
-662.19999979	-0.05648708
-662.16666645	-0.07342969
-662.13333312	-0.08390630
-662.09999978	-0.08744143
-662.06666645	-0.08376576
-662.03333312	-0.07305279
-661.99999978	-0.05546841
-661.96666645	-0.03166496
-661.93333312	-0.00281893
-661.89999978	0.02913831
-661.86666645	0.06185076
